i:0;t:0;p0:-0.806471,-0.466764,-3.35505;
i:1;t:0.01601;p0:-0.0958209,-0.469322,-3.71144;
i:2;t:0.03202;p0:0.614829,-0.471881,-4.06782;
i:3;t:0.04803;p0:0.67452,-0.474439,-4.42421;
i:4;t:0.06404;p0:-0.03613,-0.476997,-4.7806;
i:5;t:0.08005;p0:-0.74678,-0.479556,-4.86301;
i:6;t:0.09606;p0:-0.542569,-0.482114,-4.50662;
i:7;t:0.11207;p0:0.168081,-0.484672,-4.15023;
i:8;t:0.12808;p0:0.878731,-0.48723,-3.79384;
i:9;t:0.14409;p0:0.410619,-0.489789,-3.43745;
i:10;t:0.1601;p0:-0.300032,-0.492347,-3.08106;
i:11;t:0.17611;p0:-0.989318,-0.494905,-2.72468;
i:12;t:0.19212;p0:-0.278668,-0.497464,-2.36829;
i:13;t:0.20813;p0:0.431983,-0.500022,-2.0119;
i:14;t:0.22414;p0:0.857367,-0.50258,-1.65551;
i:15;t:0.24015;p0:0.146717,-0.505139,-1.29912;
i:16;t:0.25616;p0:-0.563933,-0.507697,-0.942731;
i:17;t:0.27217;p0:-0.725416,-0.510255,-0.586342;
i:18;t:0.28818;p0:-0.014766,-0.512814,-0.229953;
i:19;t:0.30419;p0:0.695884,-0.515372,0.126436;
i:20;t:0.3202;p0:0.593465,-0.51793,0.482825;
i:21;t:0.33621;p0:-0.117185,-0.520488,0.839213;
i:22;t:0.35222;p0:-0.827835,-0.523047,1.1956;
i:23;t:0.36823;p0:-0.461515,-0.525605,1.55199;
i:24;t:0.38424;p0:0.249136,-0.528163,1.90838;
i:25;t:0.40025;p0:0.959786,-0.530722,2.26477;
i:26;t:0.41626;p0:0.329564,-0.53328,2.62116;
i:27;t:0.43227;p0:-0.381087,-0.535838,2.97755;
i:28;t:0.44828;p0:-0.908263,-0.538397,3.33394;
i:29;t:0.46429;p0:-0.197613,-0.540955,3.69032;
i:30;t:0.4803;p0:0.513037,-0.543513,4.04671;
i:31;t:0.49631;p0:0.776312,-0.546071,4.4031;
i:32;t:0.51232;p0:0.065662,-0.54863,4.75949;
i:33;t:0.52833;p0:-0.644988,-0.551188,4.88412;
i:34;t:0.54434;p0:-0.644361,-0.553746,4.52773;
i:35;t:0.56035;p0:0.0662889,-0.556305,4.17134;
i:36;t:0.57636;p0:0.776939,-0.558863,3.81495;
i:37;t:0.59237;p0:0.512411,-0.561421,3.45856;
i:38;t:0.60838;p0:-0.19824,-0.56398,3.10218;
i:39;t:0.62439;p0:-0.90889,-0.566538,2.74579;
i:40;t:0.6404;p0:-0.38046,-0.569096,2.3894;
i:41;t:0.65641;p0:0.330191,-0.571654,2.03301;
i:42;t:0.67242;p0:0.959159,-0.574213,1.67662;
i:43;t:0.68843;p0:0.248509,-0.576771,1.32023;
i:44;t:0.70444;p0:-0.462141,-0.579329,0.963842;
i:45;t:0.72045;p0:-0.827208,-0.581888,0.607453;
i:46;t:0.73646;p0:-0.116558,-0.584446,0.251064;
i:47;t:0.75247;p0:0.594092,-0.587004,-0.105325;
i:48;t:0.76848;p0:0.695257,-0.589563,-0.461714;
i:49;t:0.78449;p0:-0.0153929,-0.592121,-0.818103;
i:50;t:0.8005;p0:-0.726043,-0.594679,-1.17449;
i:51;t:0.81651;p0:-0.563307,-0.597237,-1.53088;
i:52;t:0.83252;p0:0.147344,-0.599796,-1.88727;
i:53;t:0.84853;p0:0.857994,-0.602354,-2.24366;
i:54;t:0.86454;p0:0.431356,-0.604912,-2.60005;
i:55;t:0.88055;p0:-0.279295,-0.607471,-2.95644;
i:56;t:0.89656;p0:-0.989945,-0.610029,-3.31282;
i:57;t:0.91257;p0:-0.299405,-0.612587,-3.66921;
i:58;t:0.92858;p0:0.411245,-0.615146,-4.0256;
i:59;t:0.94459;p0:0.878104,-0.617704,-4.38199;
i:60;t:0.9606;p0:0.167454,-0.620262,-4.73838;
i:61;t:0.97661;p0:-0.543196,-0.62282,-4.90523;
i:62;t:0.99262;p0:-0.746153,-0.625379,-4.54884;
i:63;t:1;p0:-0.418571,-0.626558,-4.38456;
