t0; p1, -0.5, 0, 0; p2, 0.5, 0, 0; p3, 0, 0, 0
t0.001; p1, -0.499999, 0.000707107, 0; p2, 0.499999, -0.000707107, 0; p3, 0, 0, 0
t0.002; p1, -0.499996, 0.00141421, 0; p2, 0.499996, -0.00141421, 0; p3, 0, 0, 0
t0.003; p1, -0.499993, 0.00212131, 0; p2, 0.499993, -0.00212131, 0; p3, 0, 0, 0
t0.004; p1, -0.499988, 0.00282841, 0; p2, 0.499988, -0.00282841, 0; p3, 0, 0, 0
t0.005; p1, -0.499982, 0.0035355, 0; p2, 0.499982, -0.0035355, 0; p3, 0, 0, 0
t0.006; p1, -0.499975, 0.00424258, 0; p2, 0.499975, -0.00424258, 0; p3, 0, 0, 0
t0.007; p1, -0.499966, 0.00494965, 0; p2, 0.499966, -0.00494965, 0; p3, 0, 0, 0
t0.008; p1, -0.499957, 0.00565671, 0; p2, 0.499957, -0.00565671, 0; p3, 0, 0, 0
t0.009; p1, -0.499946, 0.00636376, 0; p2, 0.499946, -0.00636376, 0; p3, 0, 0, 0
t0.01; p1, -0.499934, 0.00707079, 0; p2, 0.499934, -0.00707079, 0; p3, 0, 0, 0
t0.011; p1, -0.499921, 0.0077778, 0; p2, 0.499921, -0.0077778, 0; p3, 0, 0, 0
t0.012; p1, -0.499906, 0.0084848, 0; p2, 0.499906, -0.0084848, 0; p3, 0, 0, 0
t0.013; p1, -0.499891, 0.00919177, 0; p2, 0.499891, -0.00919177, 0; p3, 0, 0, 0
t0.014; p1, -0.499874, 0.00989872, 0; p2, 0.499874, -0.00989872, 0; p3, 0, 0, 0
t0.015; p1, -0.499856, 0.0106057, 0; p2, 0.499856, -0.0106057, 0; p3, 0, 0, 0
t0.016; p1, -0.499837, 0.0113126, 0; p2, 0.499837, -0.0113126, 0; p3, 0, 0, 0
t0.017; p1, -0.499816, 0.0120194, 0; p2, 0.499816, -0.0120194, 0; p3, 0, 0, 0
t0.018; p1, -0.499795, 0.0127263, 0; p2, 0.499795, -0.0127263, 0; p3, 0, 0, 0
t0.019; p1, -0.499772, 0.0134331, 0; p2, 0.499772, -0.0134331, 0; p3, 0, 0, 0
t0.02; p1, -0.499748, 0.0141399, 0; p2, 0.499748, -0.0141399, 0; p3, 0, 0, 0
t0.021; p1, -0.499723, 0.0148466, 0; p2, 0.499723, -0.0148466, 0; p3, 0, 0, 0
t0.022; p1, -0.499696, 0.0155533, 0; p2, 0.499696, -0.0155533, 0; p3, 0, 0, 0
t0.023; p1, -0.499669, 0.01626, 0; p2, 0.499669, -0.01626, 0; p3, 0, 0, 0
t0.024; p1, -0.49964, 0.0169667, 0; p2, 0.49964, -0.0169667, 0; p3, 0, 0, 0
t0.025; p1, -0.49961, 0.0176733, 0; p2, 0.49961, -0.0176733, 0; p3, 0, 0, 0
t0.026; p1, -0.499579, 0.0183798, 0; p2, 0.499579, -0.0183798, 0; p3, 0, 0, 0
t0.027; p1, -0.499546, 0.0190863, 0; p2, 0.499546, -0.0190863, 0; p3, 0, 0, 0
t0.028; p1, -0.499513, 0.0197928, 0; p2, 0.499513, -0.0197928, 0; p3, 0, 0, 0
t0.029; p1, -0.499478, 0.0204992, 0; p2, 0.499478, -0.0204992, 0; p3, 0, 0, 0
